Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,124.333000,-33.782000,135.000000,bottom
C2,0.1uF,C_0603_1608Metric,126.024008,-32.004000,45.000000,bottom
C3,0.1uF,C_0603_1608Metric,130.937000,-31.877000,45.000000,bottom
C4,0.1uF,C_0603_1608Metric,136.271000,-37.338000,45.000000,bottom
C5,0.1uF,C_0603_1608Metric,127.635000,-44.069000,315.000000,bottom
C6,0.1uF,C_0603_1608Metric,120.904000,-37.338000,135.000000,bottom
C7,10uF,C_0603_1608Metric,122.809000,-35.306000,135.000000,bottom
D_1,D,D_SOD-123,18.050000,-10.279000,90.000000,bottom
D_2,D,D_SOD-123,37.100000,-10.279000,90.000000,bottom
D_3,D,D_SOD-123,56.150000,-10.279000,90.000000,bottom
D_4,D,D_SOD-123,75.200000,-10.279000,90.000000,bottom
D_5,D,D_SOD-123,94.250000,-10.279000,90.000000,bottom
D_6,D,D_SOD-123,113.300000,-10.279000,90.000000,bottom
D_7,D,D_SOD-123,132.334000,-10.287000,90.000000,bottom
D_8,D,D_SOD-123,151.400000,-10.279000,90.000000,bottom
D_9,D,D_SOD-123,170.450000,-10.279000,90.000000,bottom
D_10,D,D_SOD-123,189.500000,-10.279000,90.000000,bottom
D_11,D,D_SOD-123,207.153000,-10.279000,90.000000,bottom
D_12,D,D_SOD-123,209.550000,-10.279000,90.000000,bottom
D_13,D,D_SOD-123,211.963000,-10.287000,90.000000,bottom
D_14,D,D_SOD-123,20.436250,-29.325000,90.000000,bottom
D_15,D,D_SOD-123,41.862500,-29.329000,90.000000,bottom
D_16,D,D_SOD-123,60.912500,-29.329000,90.000000,bottom
D_17,D,D_SOD-123,79.962500,-29.329000,90.000000,bottom
D_18,D,D_SOD-123,99.012500,-29.329000,90.000000,bottom
D_19,D,D_SOD-123,118.062500,-29.329000,90.000000,bottom
D_20,D,D_SOD-123,137.112500,-29.329000,90.000000,bottom
D_21,D,D_SOD-123,156.162500,-29.329000,90.000000,bottom
D_22,D,D_SOD-123,175.212500,-29.329000,90.000000,bottom
D_23,D,D_SOD-123,194.262500,-29.329000,90.000000,bottom
D_24,D,D_SOD-123,213.312500,-29.329000,90.000000,bottom
D_25,D,D_SOD-123,239.511250,-29.325000,90.000000,bottom
D_26,D,D_SOD-123,25.198750,-48.375000,90.000000,bottom
D_27,D,D_SOD-123,51.387500,-48.379000,90.000000,bottom
D_28,D,D_SOD-123,70.437500,-48.379000,90.000000,bottom
D_29,D,D_SOD-123,89.487500,-48.379000,90.000000,bottom
D_30,D,D_SOD-123,108.537500,-48.379000,90.000000,bottom
D_31,D,D_SOD-123,127.587500,-48.379000,90.000000,bottom
D_32,D,D_SOD-123,146.637500,-48.379000,90.000000,bottom
D_33,D,D_SOD-123,165.687500,-48.379000,90.000000,bottom
D_34,D,D_SOD-123,184.737500,-48.379000,90.000000,bottom
D_35,D,D_SOD-123,203.787500,-48.379000,90.000000,bottom
D_36,D,D_SOD-123,222.837500,-48.379000,90.000000,bottom
D_37,D,D_SOD-123,244.273750,-48.375000,90.000000,bottom
D_38,D,D_SOD-123,20.436250,-67.425000,90.000000,bottom
D_39,D,D_SOD-123,41.862500,-67.429000,90.000000,bottom
D_40,D,D_SOD-123,63.298750,-67.425000,90.000000,bottom
D_41,D,D_SOD-123,103.780000,-67.425000,90.000000,bottom
D_42,D,D_SOD-123,160.925000,-67.429000,90.000000,bottom
D_43,D,D_SOD-123,179.975000,-67.429000,90.000000,bottom
D_44,D,D_SOD-123,201.411250,-67.425000,90.000000,bottom
D_45,D,D_SOD-123,222.837500,-67.429000,90.000000,bottom
D_46,D,D_SOD-123,244.273750,-67.425000,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,117.348000,-15.621000,90.000000,bottom
R1,10k,R_0603_1608Metric,137.033000,-19.939000,0.000000,bottom
R2,22,R_0603_1608Metric,120.777000,-8.763000,90.000000,bottom
R3,22,R_0603_1608Metric,126.873000,-8.763000,90.000000,bottom
R4,5.1k,R_0603_1608Metric,120.269000,-5.715000,180.000000,bottom
R5,5.1k,R_0603_1608Metric,127.381000,-5.715000,0.000000,bottom
R6,10k,R_0603_1608Metric,130.302000,-44.323000,135.000000,bottom
SW1,SW_Push,SKQG-1155865,143.129000,-18.034000,0.000000,bottom
U1,PRTR5V0U2X,SOT143B,123.825000,-5.715000,0.000000,bottom
U2,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,128.587500,-37.779478,315.000000,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,123.825000,5.080000,0.000000,bottom
Y1,16MHz,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,133.223000,-33.020000,225.000000,bottom